date,actual_mean_temp
7/1/2014,81
7/2/2014,85
7/3/2014,82
7/4/2014,75
7/5/2014,72
7/6/2014,74
7/7/2014,79
7/8/2014,83
7/9/2014,80
7/10/2014,78
7/11/2014,78
7/12/2014,79
7/13/2014,81
7/14/2014,85
7/15/2014,81
7/16/2014,76
7/17/2014,74
7/18/2014,77
7/19/2014,70
7/20/2014,74
7/21/2014,74
7/22/2014,79
7/23/2014,80
7/24/2014,80
7/25/2014,77
7/26/2014,78
7/27/2014,80
7/28/2014,79
7/29/2014,73
7/30/2014,74
7/31/2014,72
8/1/2014,68
8/2/2014,69
8/3/2014,77
8/4/2014,78
8/5/2014,77
8/6/2014,78
8/7/2014,78
8/8/2014,77
8/9/2014,76
8/10/2014,70
8/11/2014,78
8/12/2014,81
8/13/2014,75
8/14/2014,71
8/15/2014,73
8/16/2014,77
8/17/2014,78
8/18/2014,81
8/19/2014,80
8/20/2014,79
8/21/2014,80
8/22/2014,83
8/23/2014,82
8/24/2014,74
8/25/2014,72
8/26/2014,72
8/27/2014,72
8/28/2014,77
8/29/2014,79
8/30/2014,79
8/31/2014,83
9/1/2014,82
9/2/2014,82
9/3/2014,81
9/4/2014,77
9/5/2014,79
9/6/2014,80
9/7/2014,79
9/8/2014,70
9/9/2014,72
9/10/2014,72
9/11/2014,77
9/12/2014,81
9/13/2014,76
9/14/2014,66
9/15/2014,76
9/16/2014,76
9/17/2014,69
9/18/2014,71
9/19/2014,73
9/20/2014,71
9/21/2014,71
9/22/2014,69
9/23/2014,59
9/24/2014,59
9/25/2014,66
9/26/2014,67
9/27/2014,69
9/28/2014,68
9/29/2014,67
9/30/2014,71
10/1/2014,70
10/2/2014,72
10/3/2014,70
10/4/2014,55
10/5/2014,52
10/6/2014,62
10/7/2014,67
10/8/2014,72
10/9/2014,66
10/10/2014,72
10/11/2014,78
10/12/2014,63
10/13/2014,66
10/14/2014,73
10/15/2014,66
10/16/2014,61
10/17/2014,59
10/18/2014,65
10/19/2014,57
10/20/2014,59
10/21/2014,61
10/22/2014,56
10/23/2014,55
10/24/2014,54
10/25/2014,57
10/26/2014,66
10/27/2014,62
10/28/2014,68
10/29/2014,69
10/30/2014,57
10/31/2014,50
11/1/2014,47
11/2/2014,44
11/3/2014,45
11/4/2014,53
11/5/2014,60
11/6/2014,60
11/7/2014,50
11/8/2014,45
11/9/2014,51
11/10/2014,51
11/11/2014,57
11/12/2014,59
11/13/2014,53
11/14/2014,37
11/15/2014,35
11/16/2014,41
11/17/2014,47
11/18/2014,30
11/19/2014,29
11/20/2014,47
11/21/2014,44
11/22/2014,39
11/23/2014,54
11/24/2014,67
11/25/2014,58
11/26/2014,46
11/27/2014,43
11/28/2014,36
11/29/2014,44
11/30/2014,54
12/1/2014,57
12/2/2014,49
12/3/2014,53
12/4/2014,56
12/5/2014,47
12/6/2014,47
12/7/2014,48
12/8/2014,40
